Dataset S4: maximum value of in vivo catalytic rates across all conditions (fluxes were simulated using pFBA).							
Reaction ID in Yeast8	Gene ID	EC number	Condition	kmax (/s)	maxkmax (/s)	minkmax (/s)	log10(maxkmax/minkmax)
r_0818	YMR062C	EC2.3.1.1 EC2.3.1.35	Yu2021_N30_030R2	11.9207757470951	13.43438	11.92078	0.0519129553595042
r_0820_rvs	( YML106W or YMR271C )	EC2.4.2.10	Yu2021_N30_035R3	6.11553074502671	8.50361	6.11553	0.143169233014917
r_0821	YEL021W	EC4.1.1.23	Yu2021_N30_035R3	29.9032762245384	29.90885	29.90328	8.08872805965784E-05
r_0841	YGR277C	EC2.7.7.3	Yu2021_Gln_glc1R1	0.0329004423817281	3.29E-02	3.29E-02	0
r_0842	YDR531W	EC2.7.1.33	Yu2021_N30_030R1	0.230107919251924	2.30E-01	2.30E-01	0
r_0843	YIL145C	EC6.3.2.1	DiBartolomeo2020_GlucR3	0.70739818162215	4.24439	7.07E-01	0.778150227164829
r_0851_rvs	YGL202W	EC2.6.1.27 EC2.6.1.39 EC2.6.1.5 EC2.6.1.57	DiBartolomeo2020_GlucR3	6.4250466143257	10.22969	2.61937	0.591665623900803
r_0855	YGL234W	EC6.3.3.1 EC6.3.4.13	Yu2021_N30_018R3	8.75478343904928	8.75478	8.75478	0
r_0888_fwd	( YMR105C or YKL127W )	EC5.4.2.2	Yu2020_CN115R1	438.485768313089	447.35508	438.48577	0.00869686944705321
r_0889	( YGR256W or YHR183W )	EC1.1.1.343 EC1.1.1.44	Yu2020_CN50R1	120.015249454684	120.54604	118.85523	0.0061346513551871
r_0891	( YER081W or YIL074C )	EC1.1.1.399 EC1.1.1.95	Yu2021_Ile_stdR2	3392.29484298443	3392.5229	3374.27849	0.00234186444416284
r_0892_fwd	YCR012W	EC2.7.2.3	DiBartolomeo2020_GlucR3	36.6443887711921	36.67322	36.59844	0.00088646968370946
r_0893_fwd	( YOR283W or YKL152C )	EC3.1.3.- EC5.4.2.11	Yu2020_CN50R2	90.3017092091897	91.32758	90.18922	0.00544731890342126
r_0902_rvs	YFL045C	EC5.4.2.8	Yu2021_N30_010R3	27.3974286090363	28.51536	27.39743	0.0173690328362839
