g/gCDW	DiBartolomeo2020_GlucR1	DiBartolomeo2020_GlucR2	DiBartolomeo2020_GlucR3	DiBartolomeo2020_EtohR1	DiBartolomeo2020_EtohR2	DiBartolomeo2020_EtohR3
YEL018W	4.55813388828E-08	4.67726302848E-08	4.077682856352E-08	3.349258194492E-08	2.519133872976E-08	2.946654562992E-08
YEL017W	8.236296816642E-07	8.72479372912E-07	7.312030438698E-07	7.93921119516E-07	8.144415635196E-07	7.956264543064E-07
YEL015W	1.25007147062172E-05	1.2466106302608E-05	1.08225169250652E-05	1.29696541494948E-05	1.4026582403964E-05	1.22646812630172E-05
YEL007W	1.2242265471119E-05	0.000013526218657	1.12452839086905E-05	3.0081776462415E-06	3.552966967164E-06	2.844596114162E-06
YEL003W	1.133803159164E-05	0.0000118352632944	1.004096441322E-05	5.16358912212E-06	5.87437398288E-06	5.29005887904E-06
YER002W	3.9884291365584E-07	4.37460307424E-07	3.6657991436976E-07	2.2843245871008E-07	2.3326068857856E-07	2.378795986364E-07
YER004W	4.2875889219776E-05	4.291689580864E-05	3.7629421226856E-05	9.724937585256E-05	9.8754867752256E-05	9.860209320472E-05
YER005W	4.6927027060944E-07	4.391132406528E-07	4.1601338777808E-07	3.4557663947958E-07	3.4604171705088E-07	3.469628706921E-07
YER006W	4.6323714213344E-05	4.611933022424E-05	4.1711158069002E-05	4.7781923355117E-05	4.8481377708072E-05	4.7974883442391E-05
YER010C	1.760087338848E-06	1.92369387168E-06	1.62017990289E-06	2.20019816754E-06	2.192313300912E-06	2.026499717376E-06
YER014W	2.9197819571784E-06	3.15545374452E-06	2.798835315129E-06	5.5206376966071E-06	5.6628287010864E-06	5.2026428406474E-06
YER016W	3.65588974136052E-06	4.0606066939032E-06	3.38739428465703E-06	1.2560818645854E-06	1.42838274455964E-06	1.21872330895347E-06
YER018C	6.8591684500416E-07	7.417991879424E-07	6.9270369937272E-07	8.0730579806856E-07	8.5394528807616E-07	7.9926646174704E-07
YER019W	1.12073932473888E-06	1.1424520004128E-06	1.06646125916484E-06	1.53826625094912E-06	1.62244997612544E-06	1.47407760994648E-06
YER021W	7.2348523559496E-05	7.764186126368E-05	6.6593949801912E-05	7.6629757911876E-05	8.5114160693568E-05	7.8543130280264E-05
YER024W	1.12225504178898E-05	1.1177126136792E-05	9.7891202802168E-06	0.000142688929146644	0.000150060051124787	0.000140730742196895
YER029C	1.6246839963648E-06	1.873843392512E-06	1.4571801167616E-06	1.9727986344192E-06	2.0721467440128E-06	1.9420906058624E-06
YER030W	7.8185176783E-07	0.0000007654064404	7.1806303548E-07	0.0000011610628722	1.22738681646E-06	1.09336775464E-06
YER036C	0.000210365321423322	0.00022257888280992	0.000185737984436511	8.5056930216648E-05	9.2855891782056E-05	8.8141382603846E-05
YER042W	1.37060044418952E-05	0.000014064002862	1.21195849190616E-05	2.50596884930094E-05	2.604776969628E-05	2.4699093641607E-05
