copy/pgCDW	Lahtvee2017_REF	Lahtvee2017_EtOH20	Lahtvee2017_EtOH40	Lahtvee2017_EtOH60	Lahtvee2017_Osmo02	Lahtvee2017_Osmo04	Lahtvee2017_Osmo06	Lahtvee2017_Temp33	Lahtvee2017_Temp36	Lahtvee2017_Temp38
YDR086C	20590.7907	27815.91796	29831.51866	25908.17456	21577.79575	22821.97979	21410.47401	20981.89475	23664.32267	20965.39785
YDR089W	0	0	0	0	0	0	0	0	0	0
YDR091C	2137.133544	1913.827797	1811.795908	1875.725042	2231.725469	2322.725948	2406.343918	2404.516455	2291.808487	2008.351285
YDR092W	62.32943216	57.00826095	50.7720871	57.15449773	57.18378445	54.34958543	62.89178928	71.08382215	69.98194913	61.01919568
YDR097C	56.75753775	82.75500017	64.15392219	61.27835265	83.33602273	73.4254062	76.41518382	0	72.42791999	101.1466445
YDR098C	165.7443412	134.2248619	182.4606882	229.3302581	148.8810558	224.0052368	188.0813623	160.4884024	282.6618167	237.717842
YDR099W	81430.88653	94879.80324	59724.78249	49177.97148	76239.97337	71530.88487	55509.58428	88146.44774	83528.16098	37955.66288
YDR101C	724.7664604	529.5026542	484.0159234	552.058505	754.58214	785.7212824	754.7930345	840.2004385	766.0828216	597.2446275
YDR108W	25.60054763	0	24.79702995	35.61394731	0	28.42951843	0	30.37355956	26.53034924	23.69200207
YDR116C	366.4301552	302.9233984	582.1325029	510.0465055	374.8153189	352.676581	336.0604028	311.2080451	319.1217456	307.7966516
YDR117C	101.428913	95.74917671	181.2463898	82.90307758	422.3231206	89.83933275	95.98704771	352.0683805	103.2514252	206.5246186
YDR121W	105.7669744	110.1430368	96.2718798	135.7073476	92.430176	130.5899068	123.476731	121.7568765	217.0535398	214.0310917
YDR122W	24.96608127	0	18.93976031	18.9917623	18.54651116	18.5925509	5.661057128	19.6050428	0	33.92615438
YDR127W	1550.935389	1684.406874	1664.048107	1337.290853	1499.320279	1542.022365	1574.640286	1442.798911	1389.777346	1279.8326
YDR129C	2656.569566	2953.537414	2874.509947	3623.086278	2904.775518	2764.328811	2515.278588	3003.783934	3219.987878	2851.471186
YDR137W	0	0	0	0	0	0	0	0	0	0
YDR139C	29.51847642	0	31.76339641	33.74250083	0	21.81886288	28.60757216	0	31.04119713	40.4281583
YDR145W	0	0	0	0	0	0	0	0	0	0
YDR148C	8849.826672	13054.12832	15275.01675	8539.996743	8332.992242	8920.86482	8770.452971	9346.574778	9743.155183	4123.691766
