fmol/mgCDW	Yu2020_ClimR1	Yu2020_ClimR2	Yu2020_CN30R1	Yu2020_CN30R2	Yu2020_CN50R1	Yu2020_CN50R2	Yu2020_CN115R1	Yu2020_CN115R2
YOR361C	643.591350207798	601.871317482163	401.243947968432	434.210633309678	279.34454812888	248.419171454427	396.97788263131	315.708618555211
YBL064C	1560.27905589628	1384.96042157538	2195.50048828743	2087.10089895359	1412.40870876087	1394.795889999	1717.64655067415	1457.99340639334
YDL055C	276.726019045383	304.887742722022	508.617713760844	756.942135430757	646.611262643956	454.563416455136	966.442861086301	590.875092277473
YNL169C	109.301078925794	109.62196368676	96.8146799425323	94.188343574134	46.685219383676	45.4998195477298	46.7016149554041	52.3690956569233
YGR170W	2.87779170694311	3.4299291856089	2.65061349854275	2.65400390762252	1.60160428921701	1.75138549034236	1.76283245433153	1.60320589350623
YMR308C	549.734994896614	602.651194053184	407.169734828947	412.186108874388	224.693823579947	223.91901729174	189.69027889059	269.949554504748
YDR013W	7.87620983964977	9.92981206468227	8.48291653445127	9.4337867759779	5.78851274998348	5.62317803730217	5.02307034855881	7.8643654698018
YJL072C	32.68657202436	35.432045975628	20.8557987199331	18.9466549697148	9.02076480642434	9.07040676545094	4.07064064018126	11.9195815964808
YOL054W	50.8741264240054	54.4661273857567	39.3563745199337	34.9871501806502	17.3229700819424	20.3624186046847	6.28477135848499	23.082324493537
YAL017W	9.8767353239296	13.4380736765144	10.3491824628663	10.5001318985051	5.35163401401661	6.33564909776578	3.19672321884225	6.97136219324811
YOL045W	6.24012919954453	8.86085239740561	4.08013401370503	3.71900477416474	1.23077166039907	2.4827635218395	1.2466017034219	2.38385128527424
YLL010C	14.2758703888588	11.6604616264584	9.95148683610106	11.7902315136439	10.9184366390917	9.26097392820873	11.0055775045567	10.6228818588277
YDR032C	118.406922521443	137.711591044265	202.346436564685	673.367088992728	797.781649538186	654.890136510224	193.570369648545	424.692662404496
YNL201C	35.3517775191618	44.5133935365341	39.7591795464466	41.1159641847087	23.0098801807277	23.4079328299266	13.2532160704204	30.9414853921869
YBL046W	69.9670715311253	65.8566250286854	34.6944517383922	32.2306301845703	18.4043975288147	16.5732771955221	14.6651260346899	21.4070708355868
YAL043C	102.012858901019	133.734276178905	113.681968296831	136.378880890596	80.1946089114051	85.1756989074782	61.8139794815678	108.567446921643
YER089C	94.6314557483389	96.0249493331192	93.8953002007231	112.58923732958	69.4287686064072	91.6918778785445	151.428614859767	98.2904798535335
