cid,metName
21597501,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate
6323531,"UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate"
23657816,2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine
45479277,2-Demethylmenaquinol 8
23930,Manganese
15938963,Thiamine diphosphate
165271,L-Histidinol
71080,D-Alanine
23978,Copper
6518189,Thiamine diphosphate
171904439,(R)-3-Hydroxydodecanoyl-[acyl-carrier protein]
34231,Enterochelin
23994,Zinc
5289403,L-seryl-AMP
445888,CMP-3-deoxy-D-manno-octulosonate
136033744,Molybdenum cofactor
439774,3-Dehydroshikimate
146025952,Adenosylcobalamin
146157058,Adenosylcobalamin
5287432,"2-Succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate"
46173708,Cob(I)alamin
165388,5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate
126961167,"Cardiolipin (tetrahexadec-9-enoyl, n-C16:1)"
9750,L-Citrulline
126961193,"Cardiolipin (tetraoctadec-11-enoyl, n-C18:1)"
445995,Geranyl diphosphate
21145135,(S)-2-Aceto-2-hydroxybutanoate
45479477,"Two disacharide linked murein units, pentapeptide crosslinked tetrapeptide (A2pm->D-ala) (middle of chain)"
21145142,2-Oxo-3-hydroxy-4-phosphobutanoate
129652284,N1-(5-Phospho-D-ribosyl)glycinamide
159296,"Adenosine 3',5'-bisphosphate"
152743507,Cob(I)alamin
65110,5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide
139212383,(R)-3-Hydroxyhexanoyl-[acyl-carrier protein]
439905,5-Phospho-beta-D-ribosylamine
73323,Xanthosine 5'-phosphate
45489773,5'-deoxyribose
165491,Deamino-NAD+
10313378,5-Methylthio-D-ribose
155891367,Cob(I)alamin
439975,DTDP-L-rhamnose
439982,"2,3-Dihydrodipicolinate"
11953841,UDP-N-acetyl-3-O-(1-carboxyvinyl)-D-glucosamine
6971070,3-(4-Hydroxyphenyl)pyruvate
45266632,4-amino-4-deoxychorismate
45266657,5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide
5862,L-Cysteine
130805,N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide
11966213,1-Pyrroline-5-carboxylate
12039,Chorismate
25245451,"7,8-Diaminononanoate"
126747,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate"
21145376,"(R)-2,3-Dihydroxy-3-methylpentanoate"
5950,L-Alanine
5961,L-Glutamine
5962,L-Lysine
196427,Sirohydrochlorin
11050836,1-(5-Phosphoribosyl)-ATP
56928103,Malonyl-CoA methyl ester
440179,"2,3,4,5-Tetrahydrodipicolinate"
23615351,"(R)-2,3-Dihydroxy-3-methylbutanoate"
5459842,Anthranilate
440201,"(2,3-Dihydroxybenzoyl)adenylate"
5459852,S-Adenosyl-4-methylthio-2-oxobutanoate
23615393,Iminoaspartate
188324,D-Arabinose 5-phosphate
6057,L-Tyrosine
49852329,"2-Octaprenyl-6-methoxy-1,4-benzoquinol"
440236,N-Acetyl-L-glutamyl 5-phosphate
3037124,UDP-N-acetylmuramoyl-L-alanine
54685638,3-Octaprenyl-4-hydroxybenzoate
5459918,N1-(5-Phospho-D-ribosyl)glycinamide
440272,N-Acetyl-D-glucosamine 1-phosphate
6106,L-Leucine
440289,N-(5-Phospho-D-ribosyl)anthranilate
10214,3'-Phosphoadenylyl sulfate
440304,N-((R)-4-Phosphopantothenoyl)-L-cysteine
6140,L-Phenylalanine
10238,Adenosine 5'-phosphosulfate
199,Agmatine
6508,Quinate
760,Glyoxylate
700,Ethanolamine
5884,Nicotinamide adenine dinucleotide phosphate - reduced
7427,Trehalose
702,Ethanol
1050,Pyridoxal
1052,Pyridoxamine
1053,Pyridoxamine 5'-phosphate
1054,Pyridoxine
712,Formaldehyde
6287,L-Valine
3440921,Inorganic triphosphate
798,Indole
118,4-Aminobutanal
119,4-Aminobutanoate
1112,Succinic semialdehyde
964,Hydroxypyruvate
45266733,UDP-4-keto-pyranose
45479518,"Two disacharide linked murein units, tripeptide crosslinked tripeptide (A2pm->A2pm) (middle of chain)"
364,"2,3-diaminopropionate"
6419706,D-Gluconate
65246,D-Fructose 1-phosphate
44229082,2-Dehydro-3-deoxy-D-gluconate 6-phosphate
440101,Alpha-D-Ribose 5-phosphate
3037043,Reduced thioredoxin
135191,D-Xylose
119400,L-tartrate
444212,Trans-Aconitate
1130,Thiamin
24916760,2-Phosphoglycolate
172313,"D-Fructose 1,6-bisphosphate"
974,Oxamate
